county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat,meat_plant
24031,Montgomery County,MD,24510,Baltimore County,33.65,3,N
72123,Salinas Municipio,PR,72127,San Juan Municipio,33.66,3,N
39055,Geauga County,OH,39035,Cuyahoga County,33.68,3,N
21223,Trimble County,KY,21111,Jefferson County,33.84,3,N
10003,New Castle County,DE,10001,Kent County,33.93,3,N
22095,St. John the Baptist Parish,LA,22071,Orleans Parish,33.98,3,N
5053,Grant County,AR,5119,Pulaski County,34.13,3,N
51700,Newport News city,VA,51810,Virginia Beach County,34.29,3,N
51800,Suffolk city,VA,51810,Virginia Beach County,34.29,3,N
21103,Henry County,KY,21111,Jefferson County,34.31,3,N
18095,Madison County,IN,18097,Marion County,34.35,3,N
49029,Morgan County,UT,49035,Salt Lake County,34.38,3,N
20015,Butler County,KS,20173,Sedgwick County,34.48,3,N
53053,Pierce County,WA,53033,King County,34.55,3,N
13077,Coweta County,GA,13121,Fulton County,34.62,3,N
19125,Marion County,IA,19153,Polk County,34.65,3,N
28163,Yazoo County,MS,28049,Hinds County,34.69,3,N
40125,Pottawatomie County,OK,40109,Oklahoma County,34.81,3,N
1009,Blount County,AL,1073,Jefferson County,34.87,3,N
8047,Gilpin County,CO,8031,Denver County,35.09,3,N
24033,Prince George's County,MD,24510,Baltimore County,35.15,3,N
1115,St. Clair County,AL,1073,Jefferson County,35.19,3,N
17197,Will County,IL,17031,Cook County,35.27,3,N
28089,Madison County,MS,28049,Hinds County,35.7,3,N
8013,Boulder County,CO,8031,Denver County,35.8,3,N
13117,Forsyth County,GA,13121,Fulton County,35.85,3,N
37035,Catawba County,NC,37119,Mecklenburg County,35.86,3,N
34007,Camden County,NJ,34021,Mercer County,35.86,3,N
38097,Traill County,ND,38017,Cass County,36.11,3,N
48121,Denton County,TX,48113,Dallas County,36.13,3,N
51131,Northampton County,VA,51810,Virginia Beach County,36.58,3,N
5105,Perry County,AR,5119,Pulaski County,36.6,3,N
18159,Tipton County,IN,18097,Marion County,36.67,3,N
72037,Ceiba Municipio,PR,72127,San Juan Municipio,36.7,3,N
51199,York County,VA,51810,Virginia Beach County,36.76,3,N
41027,Hood River County,OR,41051,Multnomah County,36.93,3,N
72073,Jayuya Municipio,PR,72127,San Juan Municipio,37.03,3,N
34029,Ocean County,NJ,34021,Mercer County,37.04,3,N
40087,McClain County,OK,40109,Oklahoma County,37.26,3,N
18139,Rush County,IN,18097,Marion County,37.27,3,N
13015,Bartow County,GA,13121,Fulton County,37.68,3,N
13255,Spalding County,GA,13121,Fulton County,37.94,3,N
38073,Ransom County,ND,38017,Cass County,37.95,3,N
21093,Hardin County,KY,21111,Jefferson County,37.96,3,N
13045,Carroll County,GA,13121,Fulton County,38.02,3,N
